word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
abeldar,abieldar,0,0,0,1,0.125,0.8571428571428571,1,True,True,both,"(0,0.2]","(0.8,1.0]",1
abolengo,linaje,0,0,1,7,0.875,0.4444444444444444,2,True,False,bert_only,"(0.8,1.0]","(0.4,0.6]",2
aburrido,fome,0,0,0,8,1.0,0.1,4,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
acaso,azar,0,0,0,3,0.6,0.16666666666666666,1,True,True,both,"(0.4,0.6]","(0,0.2]",1
adelgazar,enflaquecer,0,0,0,9,0.8181818181818182,0.3333333333333333,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
además,allende,0,0,1,5,0.7142857142857143,0.375,1,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",1
afectado,inafectado,1,1,1,2,0.2,0.7777777777777778,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
aficionarse,amar,0,0,1,8,0.7272727272727273,0.2,7,True,False,bert_only,"(0.6,0.8]","(0,0.2]",6+
afición,antipatía,1,0,1,7,0.7777777777777778,0.3333333333333333,2,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",2
agitarse,entristecer,0,0,0,9,0.8181818181818182,0.5555555555555556,3,True,True,both,"(0.8,1.0]","(0.4,0.6]",3-5
aglomeración,multitud,0,1,0,11,0.9166666666666666,0.21428571428571427,4,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",3-5
alegría,lágrima,1,0,0,4,0.5714285714285714,0.4444444444444444,0,False,False,neither,"(0.4,0.6]","(0.4,0.6]",0
algo,nada,1,1,1,4,1.0,0.16666666666666666,0,True,True,both,"(0.8,1.0]","(0,0.2]",0
alisar,pulir,0,0,0,4,0.6666666666666666,0.42857142857142855,1,True,True,both,"(0.6,0.8]","(0.4,0.6]",1
aliñado,desaliñado,1,1,0,3,0.3,0.75,3,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",3-5
almuerzo,comida,0,0,0,7,0.875,0.2727272727272727,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
alojar,desalojar,1,1,0,3,0.3333333333333333,0.625,3,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",3-5
altanería,altivez,0,0,0,5,0.5555555555555556,0.4,2,True,True,both,"(0.4,0.6]","(0.2,0.4]",2
amarillo,gualdo,0,0,0,5,0.625,0.3333333333333333,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
anilina,tintura,0,0,0,6,0.8571428571428571,0.42857142857142855,0,True,True,both,"(0.8,1.0]","(0.4,0.6]",0
antaño,hoy,1,0,1,6,1.0,0.14285714285714285,3,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
antibiótico,biótico,1,1,1,4,0.36363636363636365,0.75,4,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
anticlímax,clímax,1,1,1,4,0.4,0.6666666666666666,4,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
anticonceptivo,conceptivo,1,1,1,4,0.2857142857142857,0.8888888888888888,4,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
antileptón,leptón,1,1,0,4,0.4,0.75,4,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",3-5
aovar,parir,0,1,0,4,0.8,0.3333333333333333,0,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",0
apetente,desganado,1,1,1,8,0.8888888888888888,0.3333333333333333,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
aquietar,sosegar,0,0,0,5,0.625,0.3,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
aquiral,quiral,1,0,0,1,0.14285714285714285,1.0,1,False,False,neither,"(0,0.2]","(0.8,1.0]",1
arabais,labrabais,0,0,0,2,0.2222222222222222,0.8333333333333334,2,True,True,both,"(0.2,0.4]","(0.8,1.0]",2
ararías,labrarías,0,0,0,2,0.2222222222222222,0.6666666666666666,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
arreglar,reparar,0,1,0,5,0.625,0.5,1,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",1
arrugado,plano,1,0,0,6,0.75,0.2222222222222222,3,False,False,neither,"(0.6,0.8]","(0.2,0.4]",3-5
aré,labré,0,0,0,2,0.4,0.6,2,True,True,both,"(0.2,0.4]","(0.4,0.6]",2
asiano,asiático,0,1,0,4,0.5,0.5,2,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",2
aspereza,suavidad,1,0,1,7,0.875,0.2,0,False,True,dual_only,"(0.8,1.0]","(0,0.2]",0
atemorizar,intimidar,0,0,0,6,0.6,0.5,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
atento,desatento,1,1,1,3,0.3333333333333333,0.7142857142857143,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
autarquía,autosuficiencia,0,0,1,11,0.7333333333333333,0.23076923076923078,6,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",6+
azófar,latón,0,0,0,5,0.8333333333333334,0.25,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
bañador,trajebaño,0,0,0,7,0.7777777777777778,0.5555555555555556,2,True,True,both,"(0.6,0.8]","(0.4,0.6]",2
belga,bélgico,0,0,0,4,0.5714285714285714,0.3333333333333333,2,True,True,both,"(0.4,0.6]","(0.2,0.4]",2
binoculares,prismáticos,0,1,0,10,0.9090909090909091,0.3333333333333333,0,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",0
blando,duro,1,1,1,5,0.8333333333333334,0.25,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
bolsa,portamonedas,0,0,0,10,0.8333333333333334,0.25,7,True,True,both,"(0.8,1.0]","(0.2,0.4]",6+
borrachera,peda,0,0,0,8,0.8,0.2222222222222222,6,True,True,both,"(0.6,0.8]","(0.2,0.4]",6+
buitre,zopilote,0,0,0,6,0.75,0.3,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
caducado,vigente,1,0,1,8,1.0,0.0,1,False,True,dual_only,"(0.8,1.0]",0,1
callo,dureza,0,0,0,6,1.0,0.1111111111111111,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
calzo,descalzo,1,1,0,3,0.375,0.625,3,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",3-5
cascarla,pringarla,0,0,0,5,0.5555555555555556,0.3333333333333333,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
cercado,nocercado,1,0,1,2,0.2222222222222222,0.8571428571428571,2,False,True,dual_only,"(0.2,0.4]","(0.8,1.0]",2
cerveza,chela,0,0,0,4,0.5714285714285714,0.375,2,True,True,both,"(0.4,0.6]","(0.2,0.4]",2
chamba,faena,0,0,0,4,0.6666666666666666,0.125,1,True,True,both,"(0.6,0.8]","(0,0.2]",1
chingadera,chingonería,1,0,0,3,0.2727272727272727,0.7272727272727273,1,False,False,neither,"(0.2,0.4]","(0.6,0.8]",1
chorrada,huevada,0,0,0,4,0.5,0.3333333333333333,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
circón,jargonza,0,0,0,6,0.75,0.2,2,True,True,both,"(0.6,0.8]","(0,0.2]",2
compadre,consuegro,0,0,0,6,0.6666666666666666,0.3333333333333333,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
compartir,participar,0,0,0,7,0.7,0.75,1,True,True,both,"(0.6,0.8]","(0.6,0.8]",1
competencia,incompetencia,1,1,1,2,0.15384615384615385,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
comprensiblemente,incomprensiblemente,1,1,1,2,0.10526315789473684,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
concierto,desconcierto,1,0,1,3,0.25,0.7777777777777778,3,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",3-5
