word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
aasig,widerlich,0,1,0,8,0.8888888888888888,0.09090909090909091,4,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
abberufung,demission,0,0,0,9,0.9,0.15384615384615385,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
abends,mittags,1,1,1,6,0.8571428571428571,0.2,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
abenteuerreise,erlebnisreise,0,1,0,8,0.5714285714285714,0.6,1,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",1
abgefahren,abgerieben,0,1,1,4,0.4,0.6666666666666666,0,False,False,neither,"(0.2,0.4]","(0.6,0.8]",0
abgehen,fehlen,0,1,0,4,0.5714285714285714,0.375,1,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",1
abgekühlt,aufgewärmt,1,1,1,6,0.6,0.26666666666666666,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
abgeschmackt,originell,1,0,1,12,1.0,0.13333333333333333,3,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
abkühlen,anlassen,1,1,1,5,0.625,0.4444444444444444,0,True,True,both,"(0.6,0.8]","(0.4,0.6]",0
abladen,löschen,1,1,1,5,0.7142857142857143,0.3,0,True,True,both,"(0.6,0.8]","(0.2,0.4]",0
ablehnung,annahme,1,0,1,7,0.7777777777777778,0.4444444444444444,2,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",2
abmachen,anmachen,1,1,0,1,0.125,0.8571428571428571,0,True,False,bert_only,"(0,0.2]","(0.8,1.0]",0
abneigung,sympathie,1,0,1,9,1.0,0.23076923076923078,0,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",0
abokosten,abopreis,0,0,0,6,0.6666666666666666,0.45454545454545453,1,True,True,both,"(0.6,0.8]","(0.4,0.6]",1
abschrecken,ermutigen,1,0,1,9,0.8181818181818182,0.21428571428571427,2,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",2
abschweifend,geradlinig,1,1,1,11,0.9166666666666666,0.35714285714285715,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
