word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
aanbodelasticiteit,aanbodinelasticiteit,1,1,1,2,0.1,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
aandeel,inbreng,0,1,0,6,0.8571428571428571,0.2222222222222222,0,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",0
aangeven,intekenen,0,1,1,6,0.6666666666666666,0.25,1,False,False,neither,"(0.6,0.8]","(0.2,0.4]",1
aankleden,uitdoen,1,0,1,7,0.7777777777777778,0.3,2,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",2
aanknopen,afhaken,1,1,0,6,0.6666666666666666,0.5,2,True,False,bert_only,"(0.6,0.8]","(0.4,0.6]",2
aanleggen,afvaren,1,0,1,6,0.6666666666666666,0.375,2,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",2
aanlengen,indikken,1,1,1,6,0.6666666666666666,0.25,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
aanleren,afleren,1,1,1,2,0.25,0.8333333333333334,1,True,True,both,"(0.2,0.4]","(0.8,1.0]",1
aanloeven,afvallen,1,1,1,6,0.6666666666666666,0.7142857142857143,1,True,True,both,"(0.6,0.8]","(0.6,0.8]",1
aanpakken,naderen,0,0,1,6,0.6666666666666666,0.42857142857142855,2,True,False,bert_only,"(0.6,0.8]","(0.4,0.6]",2
aanslag,waterdamp,0,0,0,7,0.7777777777777778,0.08333333333333333,2,True,True,both,"(0.6,0.8]","(0,0.2]",2
aanspannen,vieren,1,0,1,8,0.8,0.25,4,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",3-5
aansporing,vermaan,0,0,0,9,0.9,0.2727272727272727,3,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
aanstoken,smoren,1,0,1,5,0.5555555555555556,0.4444444444444444,3,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",3-5
aantekening,annotatie,0,0,0,8,0.7272727272727273,0.625,2,True,True,both,"(0.6,0.8]","(0.6,0.8]",2
aanvaardbaar,redelijk,0,1,1,12,1.0,0.18181818181818182,4,False,False,neither,"(0.8,1.0]","(0,0.2]",3-5
aanvaarden,bedanken,1,1,1,7,0.7,0.5,2,True,True,both,"(0.6,0.8]","(0.4,0.6]",2
aanvangen,aflopen,1,1,1,6,0.6666666666666666,0.3333333333333333,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
aanvatten,loslaten,1,1,0,5,0.5555555555555556,0.5,1,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",1
aanvoeren,volgen,1,1,0,5,0.5555555555555556,0.5,3,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",3-5
aanwezigheid,bijzijn,0,0,0,10,0.8333333333333334,0.2727272727272727,5,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
abnegatie,verloochening,0,0,0,12,0.9230769230769231,0.3076923076923077,4,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
abundant,overvloedig,0,1,0,11,1.0,0.07692307692307693,3,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
achterhoofd,voorhoofd,1,1,0,5,0.45454545454545453,0.5,2,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",2
achteruittrappen,vooruittrappen,1,1,1,5,0.3125,0.6666666666666666,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
achting,minachting,1,0,0,3,0.3,0.875,3,False,False,neither,"(0.2,0.4]","(0.8,1.0]",3-5
adoreren,haten,1,0,1,6,0.75,0.375,3,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",3-5
afdichten,openen,1,0,1,7,0.7777777777777778,0.18181818181818182,3,False,True,dual_only,"(0.6,0.8]","(0,0.2]",3-5
afgemat,uitgeput,0,0,0,5,0.625,0.3333333333333333,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
afhaken,bijbenen,1,0,1,6,0.75,0.2222222222222222,1,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",1
afkraken,ophemelen,1,0,0,7,0.7777777777777778,0.18181818181818182,1,False,False,neither,"(0.6,0.8]","(0,0.2]",1
afmaken,beginnen,1,1,1,6,0.75,0.2222222222222222,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
afspoelen,opwinden,1,1,1,7,0.7777777777777778,0.36363636363636365,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
afstappen,opstappen,1,1,1,2,0.2222222222222222,0.75,0,True,True,both,"(0.2,0.4]","(0.6,0.8]",0
aftrekken,rukken,0,0,1,4,0.4444444444444444,0.5,3,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",3-5
afwegen,wegen,0,1,1,2,0.2857142857142857,0.6666666666666666,2,False,False,neither,"(0.2,0.4]","(0.6,0.8]",2
afzetting,amputatie,0,0,0,6,0.6666666666666666,0.36363636363636365,0,True,True,both,"(0.6,0.8]","(0.2,0.4]",0
agiotage,beursspel,0,0,0,8,0.8888888888888888,0.08333333333333333,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
agorafobie,ruimtevrees,0,0,1,10,0.9090909090909091,0.23076923076923078,1,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",1
alledaags,ordinair,0,0,0,8,0.8888888888888888,0.2,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
allemachtig,allemensen,0,1,0,6,0.5454545454545454,0.36363636363636365,1,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",1
amicaal,bevriend,0,0,0,8,1.0,0.09090909090909091,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
animo,opgewektheid,0,0,0,12,1.0,0.15384615384615385,7,True,True,both,"(0.8,1.0]","(0,0.2]",6+
anjelier,anjer,0,0,0,3,0.375,0.7142857142857143,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
anonymus,ongenoemde,0,1,1,7,0.7,0.3,2,False,False,neither,"(0.6,0.8]","(0.2,0.4]",2
antipasta,pasta,1,1,1,4,0.4444444444444444,0.6666666666666666,4,True,True,both,"(0.4,0.6]","(0.6,0.8]",3-5
antoniem,evenwoord,1,0,1,8,0.8888888888888888,0.2727272727272727,1,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",1
aphelium,perihelium,1,1,1,4,0.4,0.7777777777777778,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
apparaat,instrument,0,1,0,8,0.8,0.2,2,False,True,dual_only,"(0.6,0.8]","(0,0.2]",2
arbeid,karwei,0,0,0,3,0.5,0.5,0,True,True,both,"(0.4,0.6]","(0.4,0.6]",0
aseksueel,seksueel,1,1,1,1,0.1111111111111111,0.8333333333333334,1,True,True,both,"(0,0.2]","(0.8,1.0]",1
asferisch,sferisch,1,1,1,1,0.1111111111111111,0.875,1,True,True,both,"(0,0.2]","(0.8,1.0]",1
bakkerin,bakster,0,0,0,4,0.5,0.5555555555555556,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
barsten,openbersten,0,0,0,5,0.45454545454545453,0.6666666666666666,4,True,True,both,"(0.4,0.6]","(0.6,0.8]",3-5
base,zuur,1,1,1,4,1.0,0.0,0,True,True,both,"(0.8,1.0]",0,0
bebouwen,bewerken,0,0,0,4,0.5,0.5,0,True,True,both,"(0.4,0.6]","(0.4,0.6]",0
bedekken,ontdekken,1,1,1,3,0.3333333333333333,0.5714285714285714,1,True,True,both,"(0.2,0.4]","(0.4,0.6]",1
bedrevenheid,onbedrevenheid,1,1,1,2,0.14285714285714285,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
beginnend,nieuwbakken,0,0,1,9,0.8181818181818182,0.4,2,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",2
begoochelen,ontgoochelen,1,1,0,3,0.25,0.7777777777777778,1,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",1
begunstigen,benadelen,1,1,0,6,0.5454545454545454,0.2727272727272727,2,True,False,bert_only,"(0.4,0.6]","(0.2,0.4]",2
beheerst,onbeheerst,1,1,0,2,0.2,0.75,2,True,False,bert_only,"(0,0.2]","(0.6,0.8]",2
behoeden,beschermen,0,1,0,5,0.5,0.4,2,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",2
bekken,vont,0,1,0,6,1.0,0.14285714285714285,2,False,True,dual_only,"(0.8,1.0]","(0,0.2]",2
belaging,stalking,0,0,0,5,0.625,0.5,0,True,True,both,"(0.6,0.8]","(0.4,0.6]",0
belangrijkheid,onbelangrijkheid,1,1,1,2,0.125,0.9230769230769231,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
beleefdheid,onbeleefdheid,1,1,1,2,0.15384615384615385,0.7777777777777778,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
bemoeilijken,vereenvoudigen,1,1,0,10,0.7142857142857143,0.2857142857142857,2,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",2
benodigdheden,supplies,0,0,0,11,0.8461538461538461,0.16666666666666666,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
beoordeling,toetsing,0,0,0,7,0.6363636363636364,0.45454545454545453,3,True,True,both,"(0.6,0.8]","(0.4,0.6]",3-5
beraden,overwegen,0,0,0,5,0.5555555555555556,0.3,2,True,True,both,"(0.4,0.6]","(0.2,0.4]",2
beroemd,wijdvermaard,0,0,0,9,0.75,0.36363636363636365,5,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
bestaan,nietbestaan,1,1,1,4,0.36363636363636365,0.8571428571428571,4,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
bestelling,order,0,0,0,9,0.9,0.09090909090909091,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
bestemoer,bestje,0,0,0,4,0.4444444444444444,0.5,3,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
betaling,voldoening,0,1,0,7,0.7,0.45454545454545453,2,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",2
bevuilen,reinigen,1,0,1,4,0.5,0.3333333333333333,0,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",0
bevuilen,vuilmaken,0,0,0,5,0.5555555555555556,0.6,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
bewonderen,opkijken,0,0,1,8,0.8,0.2727272727272727,2,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",2
bewust,onbewust,1,1,1,2,0.25,0.75,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
bezetene,gek,0,0,0,7,0.875,0.14285714285714285,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
bezwarend,vervelend,0,1,0,5,0.5555555555555556,0.4,0,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",0
bijgaand,ingesloten,0,1,1,9,0.9,0.25,2,False,False,neither,"(0.8,1.0]","(0.2,0.4]",2
