word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
abaixar,aumentar,1,1,1,5,0.625,0.2,1,True,True,both,"(0.6,0.8]","(0,0.2]",1
abaixar,erguer,1,0,1,6,0.8571428571428571,0.125,1,False,True,dual_only,"(0.8,1.0]","(0,0.2]",1
abduzir,aduzir,1,1,0,1,0.14285714285714285,0.8571428571428571,1,True,False,bert_only,"(0,0.2]","(0.8,1.0]",1
abençoar,amaldiçoar,1,0,1,5,0.5,0.36363636363636365,2,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",2
abundância,falta,1,1,1,9,0.9,0.09090909090909091,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
acabamento,finalização,0,0,0,9,0.8181818181818182,0.21428571428571427,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
acalmar,zangar,1,0,1,4,0.5714285714285714,0.25,1,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",1
acariciar,mimosear,0,0,0,7,0.7777777777777778,0.375,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
aceitação,negação,1,1,1,4,0.4444444444444444,0.5,2,True,True,both,"(0.4,0.6]","(0.4,0.6]",2
acelerador,freio,1,1,1,8,0.8,0.3333333333333333,5,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
acolá,lugar,0,0,1,5,1.0,0.25,0,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",0
acostamento,berma,0,0,0,10,0.9090909090909091,0.3,6,True,True,both,"(0.8,1.0]","(0.2,0.4]",6+
acrimônia,acuidade,0,1,0,6,0.6666666666666666,0.3,1,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",1
advir,suceder,0,1,0,6,0.8571428571428571,0.2222222222222222,2,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",2
afastado,longínquo,0,0,1,8,0.8888888888888888,0.08333333333333333,1,True,False,bert_only,"(0.8,1.0]","(0,0.2]",1
afastamento,vizinhança,1,1,1,10,0.9090909090909091,0.15384615384615385,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
afastar,apartar,0,0,1,2,0.2857142857142857,0.5,0,True,False,bert_only,"(0.2,0.4]","(0.4,0.6]",0
afeição,apego,0,0,0,4,0.5714285714285714,0.3333333333333333,2,True,True,both,"(0.4,0.6]","(0.2,0.4]",2
afligir,molestar,0,0,0,6,0.75,0.2727272727272727,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
agradecer,desagradecer,1,0,1,3,0.25,0.8571428571428571,3,False,True,dual_only,"(0.2,0.4]","(0.8,1.0]",3-5
alcantil,penhasco,0,0,0,8,1.0,0.2727272727272727,0,True,True,both,"(0.8,1.0]","(0.2,0.4]",0
alcoolizado,sóbrio,1,1,1,9,0.8181818181818182,0.18181818181818182,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
algures,nenhures,1,0,1,4,0.5,0.4444444444444444,1,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",1
alistar,registrar,0,0,0,4,0.4444444444444444,0.625,2,True,True,both,"(0.4,0.6]","(0.6,0.8]",2
altruísmo,egoísmo,1,1,1,5,0.5555555555555556,0.36363636363636365,2,True,True,both,"(0.4,0.6]","(0.2,0.4]",2
altruísta,egoísta,1,0,1,5,0.5555555555555556,0.4,2,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",2
alvejar,tingir,1,0,1,6,0.8571428571428571,0.1,1,False,True,dual_only,"(0.8,1.0]","(0,0.2]",1
além,naquele,0,1,1,6,0.8571428571428571,0.25,3,False,False,neither,"(0.8,1.0]","(0.2,0.4]",3-5
amabilidade,gentileza,0,0,1,8,0.7272727272727273,0.36363636363636365,2,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",2
amadurecer,apodrecer,1,0,1,3,0.3,0.5555555555555556,1,False,True,dual_only,"(0.2,0.4]","(0.4,0.6]",1
amar,detestar,1,0,0,6,0.75,0.2857142857142857,4,False,False,neither,"(0.6,0.8]","(0.2,0.4]",3-5
amizade,inimizade,1,0,1,3,0.3333333333333333,0.8571428571428571,2,False,True,dual_only,"(0.2,0.4]","(0.8,1.0]",2
anchova,enchova,0,0,0,1,0.14285714285714285,0.8571428571428571,0,True,True,both,"(0,0.2]","(0.8,1.0]",0
anoitecer,clarear,1,0,1,7,0.7777777777777778,0.4444444444444444,2,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",2
antecipador,antecipante,0,0,0,3,0.2727272727272727,0.7,0,True,True,both,"(0.2,0.4]","(0.6,0.8]",0
antifolato,antifólico,0,0,0,3,0.3,0.7777777777777778,0,True,True,both,"(0.2,0.4]","(0.6,0.8]",0
antigo,jovem,1,1,1,6,1.0,0.1,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
antigo,novo,1,1,1,4,0.6666666666666666,0.2857142857142857,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
antipartido,antipartidário,0,1,1,3,0.21428571428571427,0.8888888888888888,3,False,False,neither,"(0.2,0.4]","(0.8,1.0]",3-5
antipatia,solidariedade,1,1,1,9,0.6923076923076923,0.18181818181818182,4,True,True,both,"(0.6,0.8]","(0,0.2]",3-5
antropologista,antropólogo,0,1,0,5,0.35714285714285715,0.7272727272727273,3,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",3-5
antropófobo,filantrópico,1,0,1,8,0.6666666666666666,0.6666666666666666,1,False,True,dual_only,"(0.6,0.8]","(0.6,0.8]",1
apartado,isolado,0,0,1,5,0.625,0.3333333333333333,1,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",1
aragem,brisa,0,0,0,5,0.8333333333333334,0.25,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
arrebite,preguinho,0,0,1,7,0.7777777777777778,0.25,1,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",1
arremessar,atirar,0,0,0,7,0.7,0.2857142857142857,4,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
arriscado,perigoso,0,1,1,6,0.6666666666666666,0.4,1,False,False,neither,"(0.6,0.8]","(0.2,0.4]",1
arrojo,temor,1,0,0,5,0.8333333333333334,0.2857142857142857,1,False,False,neither,"(0.8,1.0]","(0.2,0.4]",1
artifício,estratagema,0,0,0,10,0.9090909090909091,0.25,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
ascensão,declinação,1,1,1,6,0.6,0.5454545454545454,2,True,True,both,"(0.4,0.6]","(0.4,0.6]",2
