word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
accessoire,mineure,0,0,0,7,0.7,0.3,3,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
adultère,fornication,0,0,0,10,0.9090909090909091,0.23076923076923078,3,True,True,both,"(0.8,1.0]","(0.2,0.4]",3-5
aigu,chronique,1,0,1,7,0.7777777777777778,0.18181818181818182,5,False,True,dual_only,"(0.6,0.8]","(0,0.2]",3-5
aimable,sociable,0,1,1,4,0.5,0.5555555555555556,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
aise,mésaise,1,0,1,3,0.42857142857142855,0.6666666666666666,3,False,True,dual_only,"(0.4,0.6]","(0.6,0.8]",3-5
aller,rester,1,1,1,4,0.6666666666666666,0.3333333333333333,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
amoureuse,mec,1,0,0,7,0.7777777777777778,0.25,6,False,False,neither,"(0.6,0.8]","(0.2,0.4]",6+
ancienneté,jeunesse,1,1,1,8,0.8,0.2,2,True,True,both,"(0.6,0.8]","(0,0.2]",2
anodin,minuscule,0,0,1,8,0.8888888888888888,0.18181818181818182,3,True,False,bert_only,"(0.8,1.0]","(0,0.2]",3-5
antiboulangiste,boulangiste,1,0,1,4,0.26666666666666666,1.0,4,False,True,dual_only,"(0.2,0.4]","(0.8,1.0]",3-5
antifasciste,fasciste,1,1,1,4,0.3333333333333333,0.875,4,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
antipoison,antitoxique,0,1,1,5,0.45454545454545453,0.45454545454545453,1,False,False,neither,"(0.4,0.6]","(0.4,0.6]",1
apartheid,séparation,0,1,0,7,0.7,0.4166666666666667,1,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",1
archétypal,archétypique,0,1,1,4,0.3333333333333333,0.6153846153846154,2,False,False,neither,"(0.2,0.4]","(0.6,0.8]",2
arithmancie,arithmomancie,0,1,0,2,0.15384615384615385,0.9,2,False,True,dual_only,"(0,0.2]","(0.8,1.0]",2
arrangeable,inarrangeable,1,1,1,2,0.15384615384615385,0.875,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
arrêter,progresser,1,1,1,6,0.6,0.2222222222222222,3,True,True,both,"(0.4,0.6]","(0.2,0.4]",3-5
astromancien,astromant,0,0,0,4,0.3333333333333333,0.7,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
bajan,barbadien,0,0,0,5,0.5555555555555556,0.375,4,True,True,both,"(0.4,0.6]","(0.2,0.4]",3-5
belloce,prunelier,0,0,0,8,0.8888888888888888,0.2,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
biélorusse,biélorussien,0,1,0,2,0.16666666666666666,0.9,2,False,True,dual_only,"(0,0.2]","(0.8,1.0]",2
bourdille,indic,0,0,0,7,0.7777777777777778,0.2,4,True,True,both,"(0.6,0.8]","(0,0.2]",3-5
calomnieux,désobligeant,0,1,0,9,0.75,0.375,2,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",2
canadiens,habs,0,0,1,7,0.7777777777777778,0.2222222222222222,5,True,False,bert_only,"(0.6,0.8]","(0.2,0.4]",3-5
canadien,cultivateur,0,0,1,9,0.8181818181818182,0.36363636363636365,3,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",3-5
cavass,zaptieh,0,0,1,6,0.8571428571428571,0.1,1,True,False,bert_only,"(0.8,1.0]","(0,0.2]",1
caïmanais,caïmanien,0,0,0,3,0.3333333333333333,0.75,0,True,True,both,"(0.2,0.4]","(0.6,0.8]",0
centré,excentré,1,1,1,2,0.25,0.8571428571428571,2,True,True,both,"(0.2,0.4]","(0.8,1.0]",2
chavot,maca,0,0,0,5,0.8333333333333334,0.2857142857142857,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
cheik,chîkh,0,0,0,3,0.6,0.5,0,True,True,both,"(0.4,0.6]","(0.4,0.6]",0
chimioluminescent,électroluminescent,1,1,1,6,0.3333333333333333,0.7692307692307693,1,True,True,both,"(0.2,0.4]","(0.6,0.8]",1
clipser,fixer,0,0,1,4,0.5714285714285714,0.3333333333333333,2,True,False,bert_only,"(0.4,0.6]","(0.2,0.4]",2
colline,mamelon,0,0,1,6,0.8571428571428571,0.5,0,True,False,bert_only,"(0.8,1.0]","(0.4,0.6]",0
compétitif,performant,0,0,1,10,1.0,0.4166666666666667,0,True,False,bert_only,"(0.8,1.0]","(0.4,0.6]",0
congelable,incongelable,1,1,1,2,0.16666666666666666,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
consciemment,inconsciemment,1,1,1,2,0.14285714285714285,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
content,triste,1,0,1,6,0.8571428571428571,0.25,1,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",1
contrecarrer,empêcher,0,1,1,9,0.75,0.2727272727272727,4,False,False,neither,"(0.6,0.8]","(0.2,0.4]",3-5
contredanse,danse,1,1,0,6,0.5454545454545454,0.5555555555555556,6,True,False,bert_only,"(0.4,0.6]","(0.4,0.6]",6+
corsifier,corsiser,0,0,1,2,0.2222222222222222,0.8571428571428571,1,True,False,bert_only,"(0.2,0.4]","(0.8,1.0]",1
coûteux,gratuit,1,0,1,6,0.8571428571428571,0.18181818181818182,0,False,True,dual_only,"(0.8,1.0]","(0,0.2]",0
criminel,voyou,0,0,0,8,1.0,0.0,3,True,True,both,"(0.8,1.0]",0,3-5
cryptomane,cryptopunk,0,0,0,3,0.3,0.5833333333333334,0,True,True,both,"(0.2,0.4]","(0.4,0.6]",0
créationniste,darwiniste,1,1,1,7,0.5384615384615384,0.5833333333333334,3,True,True,both,"(0.4,0.6]","(0.4,0.6]",3-5
cursif,script,1,0,1,5,0.8333333333333334,0.5,0,False,True,dual_only,"(0.8,1.0]","(0.4,0.6]",0
cybersquattage,cybersquatting,0,0,0,3,0.21428571428571427,0.8461538461538461,0,True,True,both,"(0.2,0.4]","(0.8,1.0]",0
deps,fifo,1,0,1,4,1.0,0.0,0,False,True,dual_only,"(0.8,1.0]",0,0
différent,identique,1,1,1,9,1.0,0.5,0,True,True,both,"(0.8,1.0]","(0.4,0.6]",0
division,union,1,0,0,5,0.625,0.42857142857142855,3,False,False,neither,"(0.6,0.8]","(0.4,0.6]",3-5
dynamique,remonté,0,0,1,8,0.8888888888888888,0.23076923076923078,2,True,False,bert_only,"(0.8,1.0]","(0.2,0.4]",2
dégeler,geler,1,1,1,2,0.2857142857142857,0.6666666666666666,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
délétère,nuisible,0,1,1,7,0.875,0.16666666666666666,0,False,False,neither,"(0.8,1.0]","(0,0.2]",0
dénouer,nouer,1,0,1,2,0.2857142857142857,0.7142857142857143,2,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",2
dépeupler,peupler,1,0,1,2,0.2222222222222222,0.7142857142857143,2,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",2
dérégulation,régulation,1,0,1,2,0.16666666666666666,0.9090909090909091,2,False,True,dual_only,"(0,0.2]","(0.8,1.0]",2
désaoudiser,saoudiser,1,0,1,2,0.18181818181818182,0.8888888888888888,2,False,True,dual_only,"(0,0.2]","(0.8,1.0]",2
désorner,orner,1,0,1,3,0.375,0.5714285714285714,3,False,True,dual_only,"(0.2,0.4]","(0.4,0.6]",3-5
désumoyler,sumoyler,1,0,1,2,0.2,0.8,2,False,True,dual_only,"(0,0.2]","(0.6,0.8]",2
déémotionnaliser,émotionnaliser,1,1,1,2,0.125,0.9166666666666666,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
effectif,ineffectif,1,1,1,2,0.2,0.8333333333333334,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
emberluer,embobiner,0,0,0,4,0.4444444444444444,0.4444444444444444,0,True,True,both,"(0.4,0.6]","(0.4,0.6]",0
encodeur,lecteur,1,0,1,4,0.5,0.4444444444444444,1,False,True,dual_only,"(0.4,0.6]","(0.4,0.6]",1
enharmonie,homophonie,0,0,1,6,0.6,0.6666666666666666,0,True,False,bert_only,"(0.4,0.6]","(0.6,0.8]",0
envier,plaindre,1,0,1,6,0.75,0.4444444444444444,2,False,True,dual_only,"(0.6,0.8]","(0.4,0.6]",2
exo,extra,0,0,0,3,0.6,0.3333333333333333,2,True,True,both,"(0.4,0.6]","(0.2,0.4]",2
exploiteur,exploité,1,0,0,3,0.3,0.7,2,False,False,neither,"(0.2,0.4]","(0.6,0.8]",2
