word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
абас,абаса,0,0,0,1,0.2,1.0,1,True,True,both,"(0,0.2]","(0.8,1.0]",1
аббатиса,настоятельница,0,0,0,10,0.7142857142857143,0.3333333333333333,6,True,True,both,"(0.6,0.8]","(0.2,0.4]",6+
абориген,приезжий,1,0,0,8,1.0,0.25,0,False,False,neither,"(0.8,1.0]","(0.2,0.4]",0
абстракционист,реалист,1,1,1,10,0.7142857142857143,0.4166666666666667,7,True,True,both,"(0.6,0.8]","(0.4,0.6]",6+
аванпост,форпост,0,0,0,4,0.5,0.4444444444444444,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
австрал,австралиец,0,0,0,3,0.3,0.6666666666666666,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
автомобиль,машина,0,0,0,8,0.8,0.2727272727272727,4,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
адресат,отправитель,1,0,1,9,0.8181818181818182,0.3333333333333333,4,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",3-5
адский,невыносимый,0,1,1,9,0.8181818181818182,0.25,5,False,False,neither,"(0.8,1.0]","(0.2,0.4]",3-5
актив,пассив,1,1,1,3,0.5,0.42857142857142855,1,True,True,both,"(0.4,0.6]","(0.4,0.6]",1
амарант,щирица,0,0,0,6,0.8571428571428571,0.25,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
анахорет,отшельник,0,0,0,9,1.0,0.3333333333333333,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
антиматериалистический,материалистический,1,1,1,4,0.18181818181818182,0.9166666666666666,4,True,True,both,"(0,0.2]","(0.8,1.0]",3-5
арбитр,судья,0,0,0,6,1.0,0.0,1,True,True,both,"(0.8,1.0]",0,1
армрестлинг,рукоборье,0,0,0,10,0.9090909090909091,0.13333333333333333,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
бабахнуть,ударять,0,0,0,6,0.6666666666666666,0.4,2,True,True,both,"(0.6,0.8]","(0.2,0.4]",2
баклага,фляга,0,0,0,4,0.5714285714285714,0.42857142857142855,2,True,True,both,"(0.4,0.6]","(0.4,0.6]",2
бедность,богатство,1,0,1,6,0.6666666666666666,0.36363636363636365,1,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",1
бежать,драпать,0,0,0,4,0.5714285714285714,0.3333333333333333,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
безгласный,гласный,1,1,1,3,0.3,0.7,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
бездарный,талантливый,1,1,1,9,0.8181818181818182,0.3076923076923077,2,True,True,both,"(0.8,1.0]","(0.2,0.4]",2
бездельник,труженик,1,0,1,6,0.6,0.3076923076923077,2,False,True,dual_only,"(0.4,0.6]","(0.2,0.4]",2
беззащитный,беспомощный,0,1,1,6,0.5454545454545454,0.42857142857142855,0,False,False,neither,"(0.4,0.6]","(0.4,0.6]",0
безответственный,ответственный,1,1,1,3,0.1875,0.8,3,True,True,both,"(0,0.2]","(0.6,0.8]",3-5
безотрадный,радостный,1,1,1,7,0.6363636363636364,0.6666666666666666,2,True,True,both,"(0.6,0.8]","(0.6,0.8]",2
белок,желток,1,1,1,2,0.3333333333333333,0.5714285714285714,1,True,True,both,"(0.2,0.4]","(0.4,0.6]",1
беспричинный,небеспричинный,1,1,1,2,0.14285714285714285,1.0,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
бесслёзный,слёзный,1,1,1,3,0.3,0.7777777777777778,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
битва,рать,0,0,0,4,0.8,0.2857142857142857,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
бихорка,фаланга,0,0,0,6,0.8571428571428571,0.09090909090909091,0,True,True,both,"(0.8,1.0]","(0,0.2]",0
блестящий,превосходный,0,1,1,9,0.75,0.17647058823529413,3,False,False,neither,"(0.6,0.8]","(0,0.2]",3-5
близкий,недалёкий,0,1,1,6,0.6666666666666666,0.36363636363636365,2,False,False,neither,"(0.6,0.8]","(0.2,0.4]",2
боевой,воинственный,0,1,1,9,0.75,0.4,6,False,False,neither,"(0.6,0.8]","(0.2,0.4]",6+
болеть,здравствовать,1,0,0,10,0.7692307692307693,0.25,7,False,False,neither,"(0.6,0.8]","(0.2,0.4]",6+
болтливый,неразговорчивый,1,1,1,10,0.6666666666666666,0.3333333333333333,6,True,True,both,"(0.6,0.8]","(0.2,0.4]",6+
